season,award,pemain,link,tim,hadiah
10,Week 1 MVP,Skylar,/mobilelegends/Skylar,RRQ Hoshi,
10,Week 2 MVP,Alberttt,/mobilelegends/Alberttt,RRQ Hoshi,
10,Week 3 MVP,Sutsujin,/mobilelegends/Sutsujin,EVOS Legends,
10,Week 4 MVP,Facehugger,/mobilelegends/Facehugger,AURA Fire,
10,Week 5 MVP,CW,/mobilelegends/CW,ONIC Esports,
10,Week 6 MVP,MAXXX,/mobilelegends/Maxx,Bigetron Alpha,
10,Week 7 MVP,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
10,Week 8 MVP,Butsss,/mobilelegends/Butss,ONIC Esports,
10,Team of the Week #8,Butsss,/mobilelegends/Butss,ONIC Esports,
10,Team of the Week #8,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,Team of the Week #8,Clayyy,/mobilelegends/Clayyy,RRQ Hoshi,
10,Team of the Week #8,Markyyyyy,/mobilelegends/Markyyyyy,Bigetron Alpha,
10,Team of the Week #8,Widjanarko,/mobilelegends/Widjanarko,Rebellion Zion,
10,Team of the Week #7,Dyrennn,/mobilelegends/Dyrennn,Rebellion Zion,
10,Team of the Week #7,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,Team of the Week #7,Lzuraa,/mobilelegends/Lzuraa,Geek Fam ID,
10,Team of the Week #7,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,
10,Team of the Week #7,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
10,Team of the Week #6,R7,/mobilelegends/R7,RRQ Hoshi,
10,Team of the Week #6,MAXXX,/mobilelegends/Maxx,Bigetron Alpha,
10,Team of the Week #6,Clayyy,/mobilelegends/Clayyy,RRQ Hoshi,
10,Team of the Week #6,Nino,/mobilelegends/Nino,Alter Ego,
10,Team of the Week #6,LeoMurphy,/mobilelegends/Leomurphy,Alter Ego,
10,Team of the Week #5,Fluffy,/mobilelegends/Fluffy,AURA Fire,
10,Team of the Week #5,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,Team of the Week #5,Drian,/mobilelegends/Drian,ONIC Esports,
10,Team of the Week #5,CW,/mobilelegends/CW,ONIC Esports,
10,Team of the Week #5,Kyy,/mobilelegends/Kyy,Bigetron Alpha,
10,Team of the Week #4,Fluffy,/mobilelegends/Fluffy,AURA Fire,
10,Team of the Week #4,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,Team of the Week #4,Facehugger,/mobilelegends/Facehugger,AURA Fire,
10,Team of the Week #4,Kabuki,/mobilelegends/Kabuki,AURA Fire,
10,Team of the Week #4,SamoHt,/mobilelegends/SamoHt,ONIC Esports,
10,Team of the Week #3,Pai,/mobilelegends/Pai,Alter Ego,
10,Team of the Week #3,Sutsujin,/mobilelegends/Sutsujin,EVOS Legends,
10,Team of the Week #3,Tazz,/mobilelegends/Tazz,EVOS Legends,
10,Team of the Week #3,Haizz,/mobilelegends/Haiz,Rebellion Zion,
10,Team of the Week #3,Widjanarko,/mobilelegends/Widjanarko,Rebellion Zion,
10,Team of the Week #2,Butsss,/mobilelegends/Butss,ONIC Esports,
10,Team of the Week #2,Alberttt,/mobilelegends/Alberttt,RRQ Hoshi,
10,Team of the Week #2,Lemon,/mobilelegends/Lemon,RRQ Hoshi,
10,Team of the Week #2,Kabuki,/mobilelegends/Kabuki,AURA Fire,
10,Team of the Week #2,DreamS,/mobilelegends/Dreams,EVOS Legends,
10,Team of the Week #1,R7,/mobilelegends/R7,RRQ Hoshi,
10,Team of the Week #1,Kairi,/mobilelegends/Kairi,ONIC Esports,
10,Team of the Week #1,Udil,/mobilelegends/Udil,Alter Ego,
10,Team of the Week #1,Kabuki,/mobilelegends/Kabuki,AURA Fire,
