hero,pick,ban,win,win_rate
Miya,15,10,10,67.0
Balmond,0,0,0,0.0
Saber,0,0,0,0.0
Alice,10,5,5,50.0
Nana,0,0,0,0.0
Tigreal,1,0,0,0.0
Alucard,0,0,0,0.0
Karina,0,0,0,0.0
Akai,0,0,0,0.0
Franco,0,0,0,0.0
Bane,0,0,0,0.0
Bruno,0,0,0,0.0
Clint,7,0,3,43.0
Rafaela,25,29,15,60.0
Eudora,36,16,22,61.0
Zilong,0,0,0,0.0
Fanny,12,49,6,50.0
Layla,0,0,0,0.0
Minotaur,17,11,9,53.0
Lolita,0,0,0,0.0
Hayabusa,2,1,1,50.0
Freya,5,83,4,80.0
Gord,0,1,0,0.0
Natalia,0,0,0,0.0
Kagura,0,0,0,0.0
Chou,6,4,2,33.0
Sun,0,0,0,0.0
Alpha,0,0,0,0.0
Ruby,12,7,6,50.0
Yi Sun-Shin,11,6,4,36.0
Moskov,22,12,13,59.0
Johnson,0,0,0,0.0
Cyclops,0,0,0,0.0
Estes,0,1,0,0.0
Hilda,2,0,2,100.0
Aurora,0,0,0,0.0
Lapu-lapu,1,0,1,100.0
Vexana,1,5,0,0.0
Roger,0,0,0,0.0
Karrie,1,0,0,0.0
Gatotkaca,11,4,5,45.0
Harley,14,9,6,43.0
Irithel,0,0,0,0.0
Grock,0,0,0,0.0
Argus,0,0,0,0.0
Odette,2,0,0,0.0
Lancelot,0,0,0,0.0
Diggie,0,0,0,0.0
Hylos,10,2,7,70.0
Zhask,0,0,0,0.0
Helcurt,0,0,0,0.0
Pharsa,5,0,2,40.0
Lesley,0,0,0,0.0
Jawhead,0,0,0,0.0
Angela,2,3,0,0.0
Gusion,0,0,0,0.0
Valir,0,0,0,0.0
Martis,0,0,0,0.0
Uranus,42,32,20,48.0
Hanabi,1,3,0,0.0
Chang'e,0,0,0,0.0
Kaja,3,10,1,33.0
Selena,32,31,14,44.0
Aldous,0,0,0,0.0
Claude,41,10,20,49.0
Vale,0,0,0,0.0
Leomord,0,0,0,0.0
Lunox,3,1,0,0.0
Hanzo,4,3,2,50.0
Belerick,54,19,25,46.0
Kimmy,6,2,3,50.0
Thamuz,0,0,0,0.0
Harith,0,0,0,0.0
Minsitthar,1,0,0,0.0
Kadita,2,0,0,0.0
Faramis,1,0,0,0.0
Badang,8,3,5,63.0
Khufra,1,0,0,0.0
Granger,1,0,0,0.0
Guinevere,1,1,0,0.0
Esmeralda,17,17,8,47.0
Terizla,2,0,1,50.0
X.Borg,0,0,0,0.0
Ling,1,1,0,0.0
Dyrroth,5,1,3,60.0
Lylia,21,15,10,48.0
Baxia,0,0,0,0.0
Masha,4,5,1,25.0
Wanwan,0,0,0,0.0
Silvanna,0,0,0,0.0
Cecilion,3,1,2,67.0
Carmilla,15,5,9,60.0
Atlas,18,68,11,61.0
Popol and Kupa,0,0,0,0.0
Yu Zhong,1,0,0,0.0
Luo Yi,1,0,0,0.0
Benedetta,0,0,0,0.0
Khaleed,1,0,0,0.0
Barats,33,33,16,48.0
Brody,26,12,8,31.0
Yve,0,0,0,0.0
Mathilda,15,35,8,53.0
Paquito,48,38,25,52.0
Gloo,20,23,11,55.0
Beatrix,0,0,0,0.0
Phoveus,2,5,0,0.0
Natan,0,0,0,0.0
Aulus,0,0,0,0.0
Aamon,0,0,0,0.0
Floryn,0,0,0,0.0
Valentina,15,7,6,40.0
Edith,0,0,0,0.0
Yin,0,0,0,0.0
Melissa,34,53,18,53.0
Xavier,0,0,0,0.0
Julian,0,0,0,0.0
Fredrinn,1,0,0,0.0
Joy,0,0,0,0.0
Arlott,3,6,2,67.0
Novaria,17,38,10,59.0
Ixia,1,0,1,100.0
Nolan,16,13,10,63.0
Cici,0,0,0,0.0
Chip,7,18,1,14.0
Zhuxin,10,12,4,40.0
Suyou,11,1,4,36.0
Lukas,0,0,0,0.0
Kalea,2,1,1,50.0
Zetian,5,2,4,80.0
Obsidia,11,3,7,64.0
Sora,7,3,3,43.0
Marcel,11,71,6,55.0
Hirara,65,20,37,57.0
