season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
10,1,12,1660291200,Geek Fam ID,GFID,1,2,RRQ,RRQ Hoshi,selesai,Skylar,/mobilelegends/Skylar,RRQ
10,1,12,1660300200,Rebellion Esports,RBL,0,2,BTR,Bigetron by Vitality,selesai,Xorizo,/mobilelegends/Xorizo,BTR
10,1,13,1660370400,Alter Ego,AE,2,0,GFID,Geek Fam ID,selesai,Nino,/mobilelegends/Nino,AE
10,1,13,1660379400,ONIC,ONIC,2,0,RBL,Rebellion Esports,selesai,Kairi,/mobilelegends/Kairi,ONIC
10,1,13,1660388400,Bigetron by Vitality,BTR,0,2,EVOS,EVOS,selesai,Ferxiic,/mobilelegends/Ferxiic,EVOS
10,1,14,1660464000,Alter Ego,AE,0,2,RRQ,RRQ Hoshi,selesai,Skylar,/mobilelegends/Skylar,RRQ
10,1,14,1660473000,EVOS,EVOS,0,2,AURA,AURA Fire,selesai,Kabuki,/mobilelegends/Kabuki,AURA
10,2,19,1660896000,AURA Fire,AURA,1,2,ONIC,ONIC,selesai,Butsss,/mobilelegends/Butss,ONIC
10,2,19,1660905000,Alter Ego,AE,2,1,RBL,Rebellion Esports,selesai,Nino,/mobilelegends/Nino,AE
10,2,20,1660975200,Bigetron by Vitality,BTR,1,2,AURA,AURA Fire,selesai,FACEHUGGER,/mobilelegends/Facehugger,AURA
10,2,20,1660984200,Geek Fam ID,GFID,0,2,EVOS,EVOS,selesai,Clover,/mobilelegends/Clover,EVOS
10,2,20,1660993200,ONIC,ONIC,1,2,RRQ,RRQ Hoshi,selesai,Alberttt,/mobilelegends/Alberttt,RRQ
10,2,21,1661068800,Geek Fam ID,GFID,2,0,RBL,Rebellion Esports,selesai,Janaaqt,/mobilelegends/Hadess,GFID
10,2,21,1661077800,Bigetron by Vitality,BTR,1,2,RRQ,RRQ Hoshi,selesai,Alberttt,/mobilelegends/Alberttt,RRQ
10,3,26,1661500800,AURA Fire,AURA,2,1,AE,Alter Ego,selesai,god1va,/mobilelegends/God1va,AURA
10,3,26,1661509800,EVOS,EVOS,2,1,ONIC,ONIC,selesai,Sutsujin,/mobilelegends/Sutsujin,EVOS
10,3,27,1661580000,Rebellion Esports,RBL,2,1,AURA,AURA Fire,selesai,HAIZZ,/mobilelegends/Haiz,RBL
10,3,27,1661589000,Bigetron by Vitality,BTR,1,2,AE,Alter Ego,selesai,Udil,/mobilelegends/Udil,AE
10,3,27,1661598000,RRQ Hoshi,RRQ,0,2,EVOS,EVOS,selesai,Sutsujin,/mobilelegends/Sutsujin,EVOS
10,3,28,1661673600,Geek Fam ID,GFID,0,2,ONIC,ONIC,selesai,CW,/mobilelegends/CW,ONIC
10,3,28,1661682600,RRQ Hoshi,RRQ,0,2,RBL,Rebellion Esports,selesai,HAIZZ,/mobilelegends/Haiz,RBL
10,4,2,1662105600,AURA Fire,AURA,2,1,GFID,Geek Fam ID,selesai,Kabuki,/mobilelegends/Kabuki,AURA
10,4,2,1662114600,ONIC,ONIC,2,0,BTR,Bigetron by Vitality,selesai,CW,/mobilelegends/CW,ONIC
10,4,3,1662184800,AURA Fire,AURA,2,0,RRQ,RRQ Hoshi,selesai,FACEHUGGER,/mobilelegends/Facehugger,AURA
10,4,3,1662193800,EVOS,EVOS,1,2,AE,Alter Ego,selesai,Udil,/mobilelegends/Udil,AE
10,4,3,1662202800,Geek Fam ID,GFID,1,2,BTR,Bigetron by Vitality,selesai,Markyyyyy,/mobilelegends/Markyyyyy,BTR
10,4,4,1662278400,Rebellion Esports,RBL,0,2,EVOS,EVOS,selesai,Sutsujin,/mobilelegends/Sutsujin,EVOS
