season,week,pemain,link,tim,poin_match,poin_weekly,peringkat,total
10,1.0,Kairi,/mobilelegends/Kairi,ONIC,10.0,0.0,,
10,4.0,Kairi,/mobilelegends/Kairi,ONIC,10.0,0.0,,
10,5.0,Kairi,/mobilelegends/Kairi,ONIC,10.0,0.0,,
10,7.0,Kairi,/mobilelegends/Kairi,ONIC,10.0,0.0,,
10,8.0,Kairi,/mobilelegends/Kairi,ONIC,10.0,0.0,,
10,,Kairi,/mobilelegends/Kairi,ONIC,,,1.0,50.0
10,3.0,CW,/mobilelegends/CW,ONIC,10.0,0.0,,
10,4.0,CW,/mobilelegends/CW,ONIC,10.0,0.0,,
10,5.0,CW,/mobilelegends/CW,ONIC,10.0,5.0,,
10,6.0,CW,/mobilelegends/CW,ONIC,10.0,0.0,,
10,,CW,/mobilelegends/CW,ONIC,,,2.0,45.0
10,1.0,Skylar,/mobilelegends/Skylar,RRQ Hoshi,20.0,5.0,,
10,5.0,Skylar,/mobilelegends/Skylar,RRQ Hoshi,10.0,0.0,,
10,7.0,Skylar,/mobilelegends/Skylar,RRQ Hoshi,10.0,0.0,,
10,,Skylar,/mobilelegends/Skylar,RRQ Hoshi,,,2.0,45.0
10,1.0,Nino,/mobilelegends/Nino,Alter Ego,10.0,0.0,,
10,2.0,Nino,/mobilelegends/Nino,Alter Ego,10.0,0.0,,
10,6.0,Nino,/mobilelegends/Nino,Alter Ego,10.0,0.0,,
10,7.0,Nino,/mobilelegends/Nino,Alter Ego,10.0,0.0,,
10,,Nino,/mobilelegends/Nino,Alter Ego,,,4.0,40.0
10,3.0,Sutsujin,/mobilelegends/Sutsujin,EVOS,20.0,5.0,,
10,4.0,Sutsujin,/mobilelegends/Sutsujin,EVOS,10.0,0.0,,
10,,Sutsujin,/mobilelegends/Sutsujin,EVOS,,,5.0,35.0
10,2.0,Alberttt,/mobilelegends/Alberttt,RRQ Hoshi,20.0,5.0,,
10,6.0,Alberttt,/mobilelegends/Alberttt,RRQ Hoshi,10.0,0.0,,
10,,Alberttt,/mobilelegends/Alberttt,RRQ Hoshi,,,5.0,35.0
10,1.0,Kabuki,/mobilelegends/Kabuki,AURA Fire,10.0,0.0,,
10,4.0,Kabuki,/mobilelegends/Kabuki,AURA Fire,10.0,0.0,,
10,5.0,Kabuki,/mobilelegends/Kabuki,AURA Fire,10.0,0.0,,
10,,Kabuki,/mobilelegends/Kabuki,AURA Fire,,,7.0,30.0
10,2.0,Facehugger,/mobilelegends/Facehugger,AURA Fire,10.0,0.0,,
10,4.0,Facehugger,/mobilelegends/Facehugger,AURA Fire,10.0,5.0,,
10,,Facehugger,/mobilelegends/Facehugger,AURA Fire,,,8.0,25.0
10,6.0,Maxxx,/mobilelegends/Maxx,Bigetron by Vitality,20.0,5.0,,
10,,Maxxx,/mobilelegends/Maxx,Bigetron by Vitality,,,8.0,25.0
10,5.0,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,10.0,0.0,,
10,7.0,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,10.0,5.0,,
10,,Caderaa,/mobilelegends/Caderaa,Geek Fam ID,,,8.0,25.0
10,2.0,Butsss,/mobilelegends/Butss,ONIC,10.0,0.0,,
10,8.0,Butsss,/mobilelegends/Butss,ONIC,10.0,5.0,,
10,,Butsss,/mobilelegends/Butss,ONIC,,,8.0,25.0
10,5.0,Fearless,/mobilelegends/Fearless,Rebellion Esports,10.0,0.0,,
10,6.0,Fearless,/mobilelegends/Fearless,Rebellion Esports,10.0,0.0,,
10,,Fearless,/mobilelegends/Fearless,Rebellion Esports,,,12.0,20.0
10,3.0,Haiz,/mobilelegends/Haiz,Rebellion Esports,20.0,0.0,,
10,,Haiz,/mobilelegends/Haiz,Rebellion Esports,,,12.0,20.0
10,3.0,Udil,/mobilelegends/Udil,Alter Ego,10.0,0.0,,
10,4.0,Udil,/mobilelegends/Udil,Alter Ego,10.0,0.0,,
10,,Udil,/mobilelegends/Udil,Alter Ego,,,12.0,20.0
10,5.0,Kyy,/mobilelegends/Kyy,Bigetron by Vitality,10.0,0.0,,
10,7.0,Kyy,/mobilelegends/Kyy,Bigetron by Vitality,10.0,0.0,,
10,,Kyy,/mobilelegends/Kyy,Bigetron by Vitality,,,12.0,20.0
10,2.0,Janaaqt,/mobilelegends/Hadess,Geek Fam ID,10.0,0.0,,
10,8.0,Janaaqt,/mobilelegends/Hadess,Geek Fam ID,10.0,0.0,,
10,,Janaaqt,/mobilelegends/Hadess,Geek Fam ID,,,12.0,20.0
10,4.0,Markyyyyy,/mobilelegends/Markyyyyy,Bigetron by Vitality,10.0,0.0,,
10,8.0,Markyyyyy,/mobilelegends/Markyyyyy,Bigetron by Vitality,10.0,0.0,,
10,,Markyyyyy,/mobilelegends/Markyyyyy,Bigetron by Vitality,,,12.0,20.0
10,2.0,Clover,/mobilelegends/Clover,EVOS,10.0,0.0,,
10,,Clover,/mobilelegends/Clover,EVOS,,,18.0,10.0
10,3.0,god1va,/mobilelegends/God1va,AURA Fire,10.0,0.0,,
10,,god1va,/mobilelegends/God1va,AURA Fire,,,18.0,10.0
10,1.0,Xorizo,/mobilelegends/Xorizo,Bigetron by Vitality,10.0,0.0,,
10,,Xorizo,/mobilelegends/Xorizo,Bigetron by Vitality,,,18.0,10.0
10,6.0,Clayyy,/mobilelegends/Clayyy,RRQ Hoshi,10.0,0.0,,
10,,Clayyy,/mobilelegends/Clayyy,RRQ Hoshi,,,18.0,10.0
10,7.0,Lzuraa,/mobilelegends/Lzuraa,Geek Fam ID,10.0,0.0,,
10,,Lzuraa,/mobilelegends/Lzuraa,Geek Fam ID,,,18.0,10.0
