player,team_code,logo,lanes,total_games,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_kda,kill_participation
MORENOOO,BTR,btr-vit,MID,20,52,2.6,33,1.65,158,7.9,6.36,84.0
EMANN,BTR,btr-vit,GOLD,20,45,2.25,41,2.05,100,5.0,3.54,58.0
FINN,BTR,btr-vit,ROAM,20,17,0.85,36,1.8,191,9.55,5.78,83.0
NNAEL,BTR,btr-vit,JUNGLE,20,121,6.05,49,2.45,89,4.45,4.29,84.0
SHOGUN,BTR,btr-vit,EXP,20,16,0.8,47,2.35,166,8.3,3.87,73.0
MIGUEL,BTR,btr-vit,MID,0,0,0.0,0,0.0,0,0.0,0.0,0.0
ALBERTTT,EVOS,evos,JUNGLE,18,79,4.39,32,1.78,51,2.83,4.06,76.0
ERLAN,EVOS,evos,GOLD,18,39,2.17,22,1.22,71,3.94,5.0,64.0
VELL,EVOS,evos,EXP,2,1,0.5,6,3.0,7,3.5,1.33,73.0
MUEZZA,EVOS,evos,ROAM,18,4,0.22,66,3.67,131,7.28,2.05,79.0
RENDYYY,EVOS,evos,EXP,16,19,1.19,55,3.44,67,4.19,1.56,54.0
DRIANW,EVOS,evos,MID,5,11,2.2,6,1.2,20,4.0,5.17,79.0
Ryzaa,EVOS,evos,MID,13,18,1.38,26,2.0,89,6.85,4.12,81.0
HAJIRIN,RRQ,rrq,MID,14,22,1.57,38,2.71,66,4.71,2.32,79.0
SAID,RRQ,rrq,ROAM,16,13,0.81,57,3.56,72,4.5,1.49,71.0
JOSHUA,RRQ,rrq,EXP,18,15,0.83,56,3.11,61,3.39,1.36,56.0
DEMONKITE,RRQ,rrq,JUNGLE,18,42,2.33,35,1.94,57,3.17,2.83,73.0
ARTHUR,RRQ,rrq,GOLD,18,37,2.06,44,2.44,39,2.17,1.73,56.0
HABIL,RRQ,rrq,GOLD,0,0,0.0,0,0.0,0,0.0,0.0,0.0
CLAYYY,RRQ,rrq,MID,4,5,1.25,10,2.5,16,4.0,2.1,88.0
KIBOY,ONIC,onic-b,ROAM,22,20,0.91,65,2.95,154,7.0,2.68,76.0
SANZ,ONIC,onic-b,MID,17,38,2.24,24,1.41,103,6.06,5.88,81.0
KAIRI,ONIC,onic-b,JUNGLE,22,88,4.0,36,1.64,91,4.14,4.97,78.0
LUTPI,ONIC,onic-b,EXP,22,19,0.86,58,2.64,132,6.0,2.6,66.0
KELRA,ONIC,onic-b,GOLD,22,56,2.55,26,1.18,95,4.32,5.81,66.0
SSAMUEL,ONIC,onic-b,ROAM,5,8,1.6,18,3.6,28,5.6,2.0,65.0
Nino,AE,ae,EXP,19,38,2.0,35,1.84,141,7.42,5.11,63.0
Dingarai,AE,ae,GOLD,19,105,5.53,32,1.68,85,4.47,5.94,67.0
Alexander,AE,ae,ROAM,19,23,1.21,39,2.05,180,9.47,5.21,71.0
Dalvin,AE,ae,MID,19,41,2.16,35,1.84,180,9.47,6.31,78.0
Halim,AE,ae,MID,0,0,0.0,0,0.0,0,0.0,0.0,0.0
Reyy,AE,ae,JUNGLE,0,0,0.0,0,0.0,0,0.0,0.0,0.0
Affan,AE,ae,JUNGLE,19,77,4.05,37,1.95,121,6.37,5.35,70.0
ABOYY,GEEK,geek,MID,22,43,1.95,44,2.0,112,5.09,3.52,80.0
KENNZYYSKIE,GEEK,geek,GOLD,22,69,3.14,55,2.5,71,3.23,2.55,72.0
NAZARA,GEEK,geek,JUNGLE,15,33,2.2,36,2.4,53,3.53,2.39,67.0
MARCEL,GEEK,geek,EXP,17,21,1.24,60,3.53,71,4.18,1.53,58.0
AUDYTZY,GEEK,geek,ROAM,11,5,0.45,33,3.0,71,6.45,2.3,75.0
FEBRIII,GEEK,geek,EXP,5,2,0.4,15,3.0,21,4.2,1.53,66.0
Frenzyy,GEEK,geek,ROAM,11,7,0.64,27,2.45,56,5.09,2.33,68.0
MAYKIDSS,GEEK,geek,JUNGLE,7,14,2.0,20,2.86,34,4.86,2.4,74.0
OCTA,DEWA,dewa,MID,16,27,1.69,21,1.31,88,5.5,5.48,76.0
MAYBEEE,DEWA,dewa,GOLD,16,29,1.81,23,1.44,62,3.88,3.96,60.0
QINN,DEWA,dewa,EXP,16,34,2.12,43,2.69,77,4.81,2.58,74.0
KAYN,DEWA,dewa,JUNGLE,9,23,2.56,26,2.89,29,3.22,2.0,63.0
ITOSHI KESU,DEWA,dewa,ROAM,13,4,0.31,49,3.77,74,5.69,1.59,64.0
RUL GOOD,DEWA,dewa,MID,0,0,0.0,0,0.0,0,0.0,0.0,0.0
Hazle,DEWA,dewa,JUNGLE,7,33,4.71,11,1.57,24,3.43,5.18,84.0
SHANEE,DEWA,dewa,ROAM,3,1,0.33,5,1.67,24,8.0,5.0,83.0
ARAN,TLID,tlid,EXP,21,28,1.33,34,1.62,127,6.05,4.56,63.0
KEVIN,TLID,tlid,JUNGLE,21,99,4.71,40,1.9,82,3.9,4.53,74.0
DRICHEL,TLID,tlid,MID,21,38,1.81,23,1.1,131,6.24,7.35,69.0
LYONI,TLID,tlid,ROAM,21,15,0.71,57,2.71,176,8.38,3.35,78.0
KEVEN,TLID,tlid,GOLD,21,66,3.14,22,1.05,96,4.57,7.36,66.0
ANAVER,TLID,tlid,MID,0,0,0.0,0,0.0,0,0.0,0.0,0.0
KARSS,NAVI,navi,EXP,20,16,0.8,46,2.3,126,6.3,3.09,66.0
APRHO,NAVI,navi,ROAM,20,21,1.05,39,1.95,145,7.25,4.26,77.0
ANDORYUUU,NAVI,navi,JUNGLE,12,43,3.58,27,2.25,50,4.17,3.44,84.0
ZEONN,NAVI,navi,GOLD,20,48,2.4,14,0.7,98,4.9,10.43,68.0
JIIZEE,NAVI,navi,MID,20,45,2.25,19,0.95,137,6.85,9.58,85.0
FEBBB,NAVI,navi,EXP,0,0,0.0,0,0.0,0,0.0,0.0,0.0
Joshuaa,NAVI,navi,JUNGLE,8,42,5.25,7,0.88,40,5.0,11.71,79.0
