season,tim,grup,role,role_asli,pemain,link,negara,catatan
10,Alter Ego,Main,EXP,EXP Lane,Pai,/mobilelegends/Pai,Indonesia,
10,Alter Ego,Main,Jungle,Jungler,Celiboy,/mobilelegends/Celiboy,Indonesia,
10,Alter Ego,Main,Mid,Middle,Udil,/mobilelegends/Udil,Indonesia,
10,Alter Ego,Main,Gold,Gold Lane,Nino,/mobilelegends/Nino,Indonesia,
10,Alter Ego,Main,Roam,Roamer,LeoMurphy,/mobilelegends/Leomurphy,Indonesia,
10,Alter Ego,Subs,Jungle,Jungler,KidsZ,/mobilelegends/KidsZ,Indonesia,
10,Alter Ego,Subs,Gold,Gold Lane,Ahmad,/mobilelegends/Ahmad,Indonesia,
10,Alter Ego,Subs,Roam,Roamer,DevKoch,/mobilelegends/DevKoch,Indonesia,
10,Alter Ego,Staff,,,Caesius,/mobilelegends/Caesius,Indonesia,Coach
10,Alter Ego,Staff,,,Arss,/mobilelegends/Arss,Indonesia,Analyst
10,AURA Fire,Main,EXP,EXP Lane,Fluffy,/mobilelegends/Fluffy,Indonesia,
10,AURA Fire,Main,Jungle,Jungler,H i g h,/mobilelegends/High,Indonesia,
10,AURA Fire,Main,Mid,Middle,FACEHUGGER,/mobilelegends/Facehugger,Indonesia,
10,AURA Fire,Main,Gold,Gold Lane,Kabuki,/mobilelegends/Kabuki,Indonesia,
10,AURA Fire,Main,Roam,Roamer,god1va,/mobilelegends/God1va,Indonesia,
10,AURA Fire,Subs,Gold,Gold Lane,Caid,/mobilelegends/Caid,Indonesia,
10,AURA Fire,Subs,Roam,Roamer,Druuu,/mobilelegends/Druu,Indonesia,
10,AURA Fire,Staff,,,Tezet,/mobilelegends/Tezet,Indonesia,Coach
10,AURA Fire,Staff,,,Fifty One Fifty,/mobilelegends/index.php?title=Fifty_One_Fifty&action=edit&redlink=1,Indonesia,Analyst
10,AURA Fire,Staff,,,Pahlevii,/mobilelegends/Pahlevi,Indonesia,Analyst
10,Bigetron Alpha,Main,EXP,EXP Lane,Xorizo,/mobilelegends/Xorizo,Indonesia,
10,Bigetron Alpha,Main,Jungle,Jungler,MAXXX,/mobilelegends/Maxx,Indonesia,
10,Bigetron Alpha,Main,Mid,Middle,Moreno,/mobilelegends/Moreno,Indonesia,
