season,week,day,home,away,ticket_url
18,6,1.0,ONIC,GEEK,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d1-onic-vs-geek?utm_source=web-ticket
18,6,1.0,DEWA,EVOS,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d1-dewa-vs-evos?utm_source=web-ticket
18,6,1.0,RRQ,DEWA,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d1-rrq-vs-dewa?utm_source=web-ticket
18,6,2.0,GEEK,NAVI,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d2-geek-vs-navi?utm_source=web-ticket
18,6,2.0,BTR,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d2-btr-vs-tlid?utm_source=web-ticket
18,6,3.0,AE,DEWA,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d3-ae-vs-dewa?utm_source=web-ticket
18,6,3.0,EVOS,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w6-d3-evos-vs-tlid?utm_source=web-ticket
18,7,1.0,GEEK,BTR,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d1-geek-vs-btr?utm_source=web-ticket
18,7,1.0,DEWA,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d1-dewa-vs-tlid?utm_source=web-ticket
18,7,2.0,AE,NAVI,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d2-ae-vs-navi?utm_source=web-ticket
18,7,2.0,GEEK,DEWA,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d2-geek-vs-dewa?utm_source=web-ticket
18,7,3.0,AE,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d3-ae-vs-tlid?utm_source=web-ticket
18,7,3.0,ONIC,NAVI,https://mplid.cognitix.id/mplid/mpl-id-s18-w7-d3-onic-vs-navi?utm_source=web-ticket
18,8,1.0,EVOS,DEWA,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d1-evos-vs-dewa?utm_source=web-ticket
18,8,1.0,AE,BTR,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d1-ae-vs-btr?utm_source=web-ticket
18,8,1.0,NAVI,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d1-navi-vs-tlid?utm_source=web-ticket
18,8,2.0,RRQ,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d2-rrq-vs-tlid?utm_source=web-ticket
18,8,2.0,DEWA,NAVI,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d2-dewa-vs-navi?utm_source=web-ticket
18,8,3.0,EVOS,GEEK,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d3-evos-vs-geek?utm_source=web-ticket
18,8,3.0,DEWA,BTR,https://mplid.cognitix.id/mplid/mpl-id-s18-w8-d3-dewa-vs-btr?utm_source=web-ticket
18,9,,NAVI,RRQ,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-navi-vs-rrq?utm_source=web-ticket
18,9,,GEEK,AE,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-geek-vs-ae?utm_source=web-ticket
18,9,,ONIC,DEWA,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-onic-vs-dewa?utm_source=web-ticket
18,9,,BTR,EVOS,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-btr-vs-evos?utm_source=web-ticket
18,9,,RRQ,GEEK,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-rrq-vs-geek?utm_source=web-ticket
18,9,,EVOS,AE,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-evos-vs-ae?utm_source=web-ticket
18,9,,NAVI,BTR,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-navi-vs-btr?utm_source=web-ticket
18,9,,ONIC,TLID,https://mplid.cognitix.id/mplid/mpl-id-s18-week-9-onic-vs-tlid?utm_source=web-ticket
