season,award,kategori,week,pemain_id,kode_tim,hadiah
10,Week 1 MVP,weekly_mvp,1.0,Skylar,RRQ,
10,Week 2 MVP,weekly_mvp,2.0,Alberttt,RRQ,
10,Week 3 MVP,weekly_mvp,3.0,Sutsujin,EVOS,
10,Week 4 MVP,weekly_mvp,4.0,Facehugger,AURA,
10,Week 5 MVP,weekly_mvp,5.0,CW,ONIC,
10,Week 6 MVP,weekly_mvp,6.0,Maxx,BTR,
10,Week 7 MVP,weekly_mvp,7.0,Caderaa,GEEK,
10,Week 8 MVP,weekly_mvp,8.0,Butss,ONIC,
10,Team of the Week #8,team_of_week,8.0,Butss,ONIC,
10,Team of the Week #8,team_of_week,8.0,Kairi,ONIC,
10,Team of the Week #8,team_of_week,8.0,Clayyy,RRQ,
10,Team of the Week #8,team_of_week,8.0,Markyyyyy,BTR,
10,Team of the Week #8,team_of_week,8.0,Widjanarko,RBL,
10,Team of the Week #7,team_of_week,7.0,Dyrennn,RBL,
10,Team of the Week #7,team_of_week,7.0,Kairi,ONIC,
10,Team of the Week #7,team_of_week,7.0,Lzuraa,GEEK,
10,Team of the Week #7,team_of_week,7.0,Caderaa,GEEK,
10,Team of the Week #7,team_of_week,7.0,Kyy,BTR,
10,Team of the Week #6,team_of_week,6.0,R7,RRQ,
10,Team of the Week #6,team_of_week,6.0,Maxx,BTR,
10,Team of the Week #6,team_of_week,6.0,Clayyy,RRQ,
10,Team of the Week #6,team_of_week,6.0,Nino,AE,
10,Team of the Week #6,team_of_week,6.0,Leomurphy,AE,
10,Team of the Week #5,team_of_week,5.0,Fluffy,AURA,
10,Team of the Week #5,team_of_week,5.0,Kairi,ONIC,
10,Team of the Week #5,team_of_week,5.0,Drian,ONIC,
10,Team of the Week #5,team_of_week,5.0,CW,ONIC,
10,Team of the Week #5,team_of_week,5.0,Kyy,BTR,
10,Team of the Week #4,team_of_week,4.0,Fluffy,AURA,
10,Team of the Week #4,team_of_week,4.0,Kairi,ONIC,
10,Team of the Week #4,team_of_week,4.0,Facehugger,AURA,
10,Team of the Week #4,team_of_week,4.0,Kabuki,AURA,
10,Team of the Week #4,team_of_week,4.0,SamoHt,ONIC,
10,Team of the Week #3,team_of_week,3.0,Pai,AE,
10,Team of the Week #3,team_of_week,3.0,Sutsujin,EVOS,
10,Team of the Week #3,team_of_week,3.0,Tazz,EVOS,
10,Team of the Week #3,team_of_week,3.0,Haiz,RBL,
10,Team of the Week #3,team_of_week,3.0,Widjanarko,RBL,
10,Team of the Week #2,team_of_week,2.0,Butss,ONIC,
10,Team of the Week #2,team_of_week,2.0,Alberttt,RRQ,
10,Team of the Week #2,team_of_week,2.0,Lemon,RRQ,
10,Team of the Week #2,team_of_week,2.0,Kabuki,AURA,
10,Team of the Week #2,team_of_week,2.0,Dreams,EVOS,
10,Team of the Week #1,team_of_week,1.0,R7,RRQ,
10,Team of the Week #1,team_of_week,1.0,Kairi,ONIC,
10,Team of the Week #1,team_of_week,1.0,Udil,AE,
10,Team of the Week #1,team_of_week,1.0,Kabuki,AURA,
10,Team of the Week #1,team_of_week,1.0,VYN,RRQ,
10,Regular Season MVP,musim,,Kairi,ONIC,"$1,000"
10,Finals MVP,musim,,Kairi,ONIC,"$2,000"
10,Best Coach,musim,,Aldo,ONIC,
10,Best Talent ID,musim,,KB,,
10,Best Talent EN,musim,,Mirko,,
10,Rising Star,musim,,Widjanarko,RBL,$500
10,Most Improved Player,musim,,Maxx,BTR,$500
10,First Team Winner,musim,,Butss,ONIC,$500
10,First Team Winner,musim,,Kairi,ONIC,
10,First Team Winner,musim,,Udil,AE,
10,First Team Winner,musim,,CW,ONIC,
10,First Team Winner,musim,,Baloyskie,GEEK,
11,Week 1 MVP,weekly_mvp,1.0,Branz,EVOS,
11,Week 2 MVP,weekly_mvp,2.0,CW,ONIC,
11,Week 3 MVP,weekly_mvp,3.0,Alberttt,RRQ,
11,Week 4 MVP,weekly_mvp,4.0,Nino,AE,
11,Week 5 MVP,weekly_mvp,5.0,S_A_N_Z,ONIC,
11,Week 6 MVP,weekly_mvp,6.0,S_A_N_Z,ONIC,
11,Team of the Week #6,team_of_week,6.0,Luke,GEEK,
11,Team of the Week #6,team_of_week,6.0,Super_Kenn,BTR,
11,Team of the Week #6,team_of_week,6.0,S_A_N_Z,ONIC,
11,Team of the Week #6,team_of_week,6.0,CW,ONIC,
11,Team of the Week #6,team_of_week,6.0,Rasy,AE,
11,Team of the Week #5,team_of_week,5.0,Lemon,RRQ,
11,Team of the Week #5,team_of_week,5.0,Kairi,ONIC,
11,Team of the Week #5,team_of_week,5.0,S_A_N_Z,ONIC,
