laga_id,game,durasi
S10P001,1,13:32
S10P001,2,22:11
S10P001,3,18:35
S10P001,4,15:09
S10P001,5,17:46
S10P002,1,13:45
S10P002,2,14:37
S10P002,3,12:57
S10P003,1,23:39
S10P003,2,14:22
S10P003,3,13:24
S10P003,4,21:12
S10P003,5,21:49
S10P004,1,11:44
S10P004,2,12:58
S10P004,3,13:42
S10P004,4,10:37
S10P005,1,18:30
S10P005,2,33:05
S10P005,3,13:46
S10P006,1,14:41
S10P006,2,15:23
S10P006,3,15:05
S10P006,4,25:30
S10P007,1,11:41
S10P007,2,22:11
S10P007,3,14:41
S10P008,1,13:12
S10P008,2,13:47
S10P008,3,13:28
S10P008,4,23:20
S10P008,5,20:08
S10R001,1,14:22
S10R001,2,26:39
S10R001,3,20:02
S10R002,1,25:40
S10R002,2,10:46
S10R003,1,15:06
S10R003,2,13:38
S10R004,1,14:51
S10R004,2,11:01
S10R005,1,25:39
S10R005,2,15:14
S10R006,1,31:41
S10R006,2,14:05
S10R007,1,19:47
S10R007,2,16:35
S10R008,1,13:53
S10R008,2,17:50
S10R008,3,29:39
S10R009,1,18:42
S10R009,2,25:03
S10R009,3,14:03
S10R010,1,14:22
S10R010,2,13:32
S10R010,3,21:26
S10R011,1,14:04
S10R011,2,15:41
S10R012,1,14:01
S10R012,2,17:28
S10R012,3,28:06
S10R013,1,13:38
S10R013,2,13:38
S10R014,1,15:03
S10R014,2,29:55
S10R014,3,14:19
S10R015,1,18:55
S10R015,2,27:03
S10R015,3,15:29
S10R016,1,11:02
S10R016,2,14:40
S10R016,3,13:14
S10R017,1,19:09
S10R017,2,11:20
S10R017,3,14:33
S10R018,1,13:53
S10R018,2,18:05
S10R018,3,14:54
S10R019,1,11:14
S10R019,2,22:13
S10R020,1,20:48
S10R020,2,14:35
S10R021,1,14:55
S10R021,2,15:34
S10R022,1,23:29
S10R022,2,22:25
S10R022,3,16:38
S10R023,1,14:13
S10R023,2,23:50
S10R024,1,22:14
S10R024,2,15:32
S10R025,1,14:34
S10R025,2,14:28
S10R025,3,20:11
S10R026,1,14:57
S10R026,2,12:36
S10R026,3,11:50
S10R027,1,17:21
S10R027,2,14:43
S10R028,1,17:53
S10R028,2,17:32
S10R028,3,12:48
S10R029,1,13:50
S10R029,2,12:00
S10R029,3,14:42
S10R030,1,14:11
S10R030,2,20:10
S10R031,1,11:25
S10R031,2,14:24
S10R032,1,17:14
S10R032,2,13:50
