season,hero,picks,menang,kalah,win_rate,bans,pick_ban
10,Paquito,124,61,63,49.19,32,156
10,Esmeralda,108,52,56,48.15,33,141
10,Claude,79,39,40,49.37,37,116
10,Beatrix,78,51,27,65.38,45,123
10,Valentina,64,31,33,48.44,107,171
10,Yve,63,27,36,42.86,46,109
10,Mathilda,57,28,29,49.12,27,84
10,Chou,55,26,29,47.27,22,77
10,Lylia,53,31,22,58.49,15,68
10,Julian,50,26,24,52.0,64,114
10,Faramis,48,30,18,62.5,120,168
10,Ling,47,23,24,48.94,50,97
10,Wanwan,46,28,18,60.87,126,172
10,Akai,45,26,19,57.78,118,163
10,Grock,39,20,19,51.28,45,84
10,Ruby,38,16,22,42.11,22,60
10,Balmond,37,21,16,56.76,63,100
10,Lolita,31,16,15,51.61,8,39
10,Pharsa,30,13,17,43.33,9,39
10,Franco,28,17,11,60.71,49,77
10,Brody,28,11,17,39.29,17,45
10,Fredrinn,27,13,14,48.15,13,40
10,Masha,27,12,15,44.44,28,55
10,Melissa,27,12,15,44.44,17,44
10,Irithel,27,9,18,33.33,16,43
10,Aamon,26,17,9,65.38,19,45
10,Lancelot,26,17,9,65.38,7,33
10,Lunox,26,14,12,53.85,10,36
10,Fanny,26,9,17,34.62,131,157
10,Karina,25,14,11,56.0,13,38
10,Atlas,22,12,10,54.55,51,73
10,Diggie,22,9,13,40.91,29,51
10,Uranus,21,13,8,61.9,17,38
10,Dyrroth,20,9,11,45.0,38,58
10,Phoveus,18,10,8,55.56,35,53
10,Popol and Kupa,18,7,11,38.89,26,44
10,Kadita,16,12,4,75.0,64,80
10,Benedetta,16,7,9,43.75,10,26
10,Natalia,15,5,10,33.33,44,59
10,Baxia,12,5,7,41.67,2,14
10,Rafaela,12,5,7,41.67,4,16
10,Cecilion,12,2,10,16.67,6,18
10,Selena,11,5,6,45.45,16,27
10,Clint,11,4,7,36.36,1,12
10,Yu Zhong,10,7,3,70.0,10,20
10,Xavier,9,4,5,44.44,3,12
