season,hero,jenis,hero_lain,peringkat,jumlah,menang,kalah,win_rate
10,Paquito,rekan,Claude,1,33,19,14,57.58
10,Paquito,rekan,Yve,2,29,13,16,44.83
10,Paquito,rekan,Mathilda,3,25,12,13,48.0
10,Paquito,rekan,Beatrix,4,24,15,9,62.5
10,Paquito,rekan,Julian,5,20,12,8,60.0
10,Paquito,lawan,Esmeralda,1,61,30,31,49.18
10,Paquito,lawan,Beatrix,2,36,13,23,36.11
10,Paquito,lawan,Chou,3,27,13,14,48.15
10,Paquito,lawan,Valentina,4,27,12,15,44.44
10,Paquito,lawan,Mathilda,5,23,9,14,39.13
10,Esmeralda,rekan,Beatrix,1,31,20,11,64.52
10,Esmeralda,rekan,Valentina,2,27,13,14,48.15
10,Esmeralda,rekan,Chou,3,25,12,13,48.0
10,Esmeralda,rekan,Wanwan,4,21,11,10,52.38
10,Esmeralda,rekan,Claude,5,18,7,11,38.89
10,Esmeralda,lawan,Paquito,1,61,31,30,50.82
10,Esmeralda,lawan,Claude,2,29,15,14,51.72
10,Esmeralda,lawan,Yve,3,24,13,11,54.17
10,Esmeralda,lawan,Beatrix,4,23,9,14,39.13
10,Esmeralda,lawan,Julian,5,22,7,15,31.82
10,Claude,rekan,Paquito,1,33,19,14,57.58
10,Claude,rekan,Esmeralda,2,18,7,11,38.89
10,Claude,rekan,Yve,3,16,8,8,50.0
10,Claude,rekan,Mathilda,4,16,7,9,43.75
10,Claude,rekan,Faramis,5,15,9,6,60.0
10,Claude,lawan,Esmeralda,1,29,14,15,48.28
10,Claude,lawan,Beatrix,2,25,9,16,36.0
10,Claude,lawan,Paquito,3,22,8,14,36.36
10,Claude,lawan,Lylia,4,18,9,9,50.0
10,Claude,lawan,Mathilda,5,16,8,8,50.0
10,Beatrix,rekan,Esmeralda,1,31,20,11,64.52
10,Beatrix,rekan,Paquito,2,24,15,9,62.5
10,Beatrix,rekan,Valentina,3,16,12,4,75.0
10,Beatrix,rekan,Yve,4,15,9,6,60.0
10,Beatrix,rekan,Akai,5,12,12,0,100.0
10,Beatrix,lawan,Paquito,1,36,23,13,63.89
10,Beatrix,lawan,Claude,2,25,16,9,64.0
10,Beatrix,lawan,Yve,3,23,16,7,69.57
10,Beatrix,lawan,Esmeralda,4,23,14,9,60.87
10,Beatrix,lawan,Masha,5,14,11,3,78.57
10,Valentina,rekan,Esmeralda,1,27,13,14,48.15
10,Valentina,rekan,Paquito,2,20,12,8,60.0
10,Valentina,rekan,Beatrix,3,16,12,4,75.0
10,Valentina,rekan,Ling,4,14,5,9,35.71
10,Valentina,rekan,Claude,5,13,4,9,30.77
10,Valentina,lawan,Paquito,1,27,15,12,55.56
10,Valentina,lawan,Esmeralda,2,15,7,8,46.67
10,Valentina,lawan,Faramis,3,14,7,7,50.0
10,Valentina,lawan,Wanwan,4,13,6,7,46.15
10,Valentina,lawan,Yve,5,13,5,8,38.46
10,Yve,rekan,Paquito,1,29,13,16,44.83
10,Yve,rekan,Esmeralda,2,17,7,10,41.18
10,Yve,rekan,Claude,3,16,8,8,50.0
10,Yve,rekan,Beatrix,4,15,9,6,60.0
10,Yve,rekan,Ling,5,8,4,4,50.0
10,Yve,lawan,Esmeralda,1,24,11,13,45.83
10,Yve,lawan,Beatrix,2,23,7,16,30.43
10,Yve,lawan,Paquito,3,19,8,11,42.11
10,Yve,lawan,Lylia,4,14,2,12,14.29
10,Yve,lawan,Valentina,5,13,8,5,61.54
10,Mathilda,rekan,Paquito,1,25,12,13,48.0
10,Mathilda,rekan,Claude,2,16,7,9,43.75
10,Mathilda,rekan,Lylia,3,15,9,6,60.0
10,Mathilda,rekan,Esmeralda,4,13,6,7,46.15
10,Mathilda,rekan,Faramis,5,12,6,6,50.0
10,Mathilda,lawan,Paquito,1,23,14,9,60.87
10,Mathilda,lawan,Grock,2,18,8,10,44.44
10,Mathilda,lawan,Claude,3,16,8,8,50.0
10,Mathilda,lawan,Esmeralda,4,16,8,8,50.0
