laga_id,season,stage,week,ronde,tanggal,jam,timestamp,kode1,kode2,skor1,skor2,status,format,mvp,sumber,mvp_pemain_id
S10P001,10,playoff,,Upper Bracket Quarterfinals,2022-10-19,13:30,1666161000,AE,AURA,2,3,selesai,Bo5,,liquipedia,
S10P002,10,playoff,,Upper Bracket Quarterfinals,2022-10-19,18:30,1666179000,BTR,RBL,3,0,selesai,Bo5,,liquipedia,
S10P003,10,playoff,,Upper Bracket Semifinals,2022-10-20,13:30,1666247400,RRQ,AURA,3,2,selesai,Bo5,,liquipedia,
S10P004,10,playoff,,Upper Bracket Semifinals,2022-10-20,18:30,1666265400,ONIC,BTR,3,1,selesai,Bo5,,liquipedia,
S10P005,10,playoff,,Lower Bracket Semifinals,2022-10-21,13:30,1666333800,AURA,BTR,3,0,selesai,Bo5,,liquipedia,
S10P006,10,playoff,,Upper Bracket Final,2022-10-21,18:30,1666351800,RRQ,ONIC,3,1,selesai,Bo5,,liquipedia,
S10P007,10,playoff,,Lower Bracket Final,2022-10-22,16:30,1666431000,ONIC,AURA,3,0,selesai,Bo5,,liquipedia,
S10P008,10,playoff,,Grand Final,2022-10-23,16:30,1666517400,RRQ,ONIC,1,4,selesai,Bo7,,liquipedia,
S10R001,10,reguler,1,,2022-08-12,15:00,1660291200,GEEK,RRQ,1,2,selesai,,Skylar,liquipedia,Skylar
S10R002,10,reguler,1,,2022-08-12,17:30,1660300200,RBL,BTR,0,2,selesai,,Xorizo,liquipedia,Xorizo
S10R003,10,reguler,1,,2022-08-13,13:00,1660370400,AE,GEEK,2,0,selesai,,Nino,liquipedia,Nino
S10R004,10,reguler,1,,2022-08-13,15:30,1660379400,ONIC,RBL,2,0,selesai,,Kairi,liquipedia,Kairi
S10R005,10,reguler,1,,2022-08-13,18:00,1660388400,BTR,EVOS,0,2,selesai,,Ferxiic,liquipedia,Ferxiic
S10R006,10,reguler,1,,2022-08-14,15:00,1660464000,AE,RRQ,0,2,selesai,,Skylar,liquipedia,Skylar
