pemain_id,nama,negara
A_B_O_Y,Aboy,Indonesia
Aboy,Aboy,
Adi,Acil,Indonesia
AeronnShikii,AeronnShikii,Indonesia
Aeterna,Aeterna,
Aether,Aether,Indonesia
Age,Age,Indonesia
Ahmad,Ahmad,Indonesia
Albert,Albert,
Alberttt,Alberttt,Indonesia
Alditto,Alditto,Indonesia
Aldo,Aldo,Indonesia
Alekk,Owennn,Indonesia
Alevaa,Alevaa,Indonesia
Anavel,Anavel,Indonesia
Andoryuuu,Andoryuuu,Philippines
Aphro,Aphro,
Aprho,Aprho,Indonesia
Aran,Aran,Indonesia
Arcadia,Arcadia,Indonesia
Aredlavv,Aredlavv,Indonesia
Arfy,Arfy,Indonesia
Arss,Arss,Indonesia
Asune,Asune,Indonesia
AudyTzy,AudyTzy,Indonesia
Aville,Aville,Indonesia
Azuraa,Azuraa,Indonesia
Bajan,Bajan,Indonesia
Baloyskie,Baloyskie,Philippines
Bam,Bam,Philippines
Banana,Banana,Indonesia
Bangduk,Bangduk,Indonesia
Barbossa,Barbossa,Indonesia
Bigetron_Alpha,Bigetron Alpha,
Bigmac,Bigmac,Indonesia
Bluffzy,Bluffzy,Philippines
BomBi,BomBi,Philippines
Bondolz,Depezett,Indonesia
Bq_syaii,bq syaii,Indonesia
Branz,Branz,Indonesia
Bravo,Bravo,Indonesia
Brusko,Brusko,Philippines
Bunnyqt,Bunnyqt,Indonesia
Butss,Butsss,Indonesia
Butsss,Butsss,
CL,CL,Indonesia
CW,CW,Indonesia
Caderaa,Caderaa,Indonesia
Caesius,Caesius,Indonesia
Caid,Caid,Indonesia
Caleb,Caleb,Indonesia
Celiboy,Celiboy,Indonesia
Chenn,Chenn,Indonesia
Cikoo,Cikoo,Indonesia
Claw Kun,Claw Kun,
Claw_Kun,Claw Kun,Indonesia
Clay,Clay,
Clayyy,Clayyy,Indonesia
Clover,Clover,Indonesia
Coolfire,Joshua,Indonesia
Cr1te,Cr1te,Indonesia
Cyruz,Cyruz,Indonesia
Dan,Dan,Philippines
Deee,Deee,Indonesia
Demonkite,Demonkite,Philippines
DevKoch,DevKoch,Indonesia
Dlar,Dlar,Philippines
Dolynn,Dolynn,Indonesia
Donn,Donn,Indonesia
Dora,Dora,Indonesia
DreamS,DreamS,
Dreams,DreamS,Indonesia
Drian,Drian,Indonesia
DrianW,DrianW,Indonesia
Drichel,Drichel,Indonesia
Druu,Druuu,Indonesia
Dyrennn,Dyrennn,Indonesia
Dyx0n,Dyx0n,Indonesia
E2MAX,E2MAX,Philippines
EMANN,EMANN,Philippines
EgaTzy,EgaTzy,Indonesia
Erlan,Douma,Indonesia
Erpang,Ervan,Indonesia
Excellent99,Excellent99,Indonesia
FACEHUGGER,FACEHUGGER,
Facehugger,FACEHUGGER,Indonesia
Falah,Falah,Indonesia
Faviannn,Faviannn,Indonesia
Fearless,Fearless,Indonesia
Febbb,Febbb,Indonesia
Febriii,Febriii,Indonesia
Ferxiic,Ferxiic,Indonesia
Fiel,Fiel,Philippines
Fifty_One_Fifty,Fifty One Fifty,Indonesia
Finn,Finn,Indonesia
Firzaa,Firzaa,Indonesia
Fluffy,Fluffy,Indonesia
Frenzyy,Frenzyy,Indonesia
Frizzyyy,Frizzyyy,Indonesia
G,G,Indonesia
Gamora,Gamora,Indonesia
Gebe,Gebe,Indonesia
Gobs,Gobs,Indonesia
God1va,god1va,Indonesia
Gugun,Gugun,Indonesia
HAIZZ,HAIZZ,
H_a_n,H a n,Indonesia
Hadess,Janaaqt,Philippines
Haiz,HAIZZ,Indonesia
HanafiTzy,HanafiTzy,Indonesia
Hanz,Hanz,Indonesia
Hazle,Hazle,Indonesia
Her,Her,Indonesia
High,H i g h,Indonesia
Hijumee,Hijumee,Indonesia
Honjaw,Honjaw,Indonesia
Idok,Idok,Indonesia
Irrad,Irrad,Philippines
Ivann,VaanStrong,Indonesia
JM,Lord JM,Philippines
JOOOOO,JOOOOO,Indonesia
Jacklee,Jacklee,Indonesia
Janaaqt,Janaaqt,
Jeymz,Jeymz,Philippines
JiiSaa,JiiSaa,Indonesia
Jiizee,Jiizee,
Jizeezeze,Jiizee,Indonesia
Jull,Keven,Indonesia
Just_Garrr,Just Garrr,Indonesia
KB,KB,
KESUUU,KESUUU,Indonesia
K_Dot,K Dot,Indonesia
Kabuki,Kabuki,Indonesia
Kairi,Kairi,Philippines
Karss,Karss,Indonesia
Kayn,Kayn,Philippines
Kazeemen,Kazeemen,Indonesia
Kelra,Kelra,Philippines
Kenn,Kenn,
KennzyySkie,KennzyySkie,Indonesia
Kevinn,Kevinn,
Keyz,Keyz,Indonesia
Khezcute,Khezcute,Indonesia
Kiboy,Kiboy,Indonesia
KidsZ,KidsZ,Indonesia
Kimura,Kimura,Indonesia
KurooKy,Kuroky,Indonesia
Kyou,Kyou,Indonesia
Kyy,Kyy,Indonesia
Kyzenn,Kyzenn,Indonesia
LUKE,LUKE,
Lanaya,Lanaya,Indonesia
Lemon,Lemon,Indonesia
LeoMurphy,LeoMurphy,
Leomurphy,LeoMurphy,Indonesia
Light,Light,Philippines
Link,Link,Philippines
Luke,LUKE,Indonesia
Lutpiii,Lutpiii,Indonesia
Lynchh,Lynchh,Indonesia
Lyoni,Lyoni,Indonesia
Lzuraa,Lzuraaa,Indonesia
Lzuraaa,Lzuraaa,
MAXXX,MAXXX,
Manskuy,Manskuy,Indonesia
MarceL,MarceL,Indonesia
Markk,Markk,Indonesia
Markyyyyy,Markyyyyy,Philippines
Mars,Mars,Indonesia
Marsha,Marsha,Indonesia
Mas4Ko,Mas4ko,Indonesia
Mas4ko,Mas4ko,
Matt,Matt,Indonesia
Maxx,MAXXX,Indonesia
Maybe,Maybe,
Maybeee,Maybe,Indonesia
Maykids,Maykids,Indonesia
Miguel_(Indonesian_player),Miguel,Indonesia
Mirko,Mirko,
Moai,Moai,Indonesia
Mongstar,Clara Mongstar,
Moreno,Moreno,Indonesia
Morenoo,Morenoo,
Mozia,Mozia,Indonesia
Muezza,Muezza,
Muezzaa,Muezzaa,Indonesia
Munsters,Munsters,Indonesia
MxMoore,MxMoore,Indonesia
NMM,NMM,Indonesia
Nafari,Nafari,Indonesia
Naitomea,Naitomea,Indonesia
Naomi,Naomi,Myanmar
Narashi,Narashi,Indonesia
Natco,Natco,Indonesia
Nazara,Nazara,Indonesia
NenShikii,Anaver,Indonesia
Nino,Nino,Indonesia
Nnael,Nnael,Indonesia
ONIC,ONIC,
Octa,Octa,Indonesia
Okky,Laufeyson,Indonesia
PAI,PAI,
Paddington,Paddington,Indonesia
Pahlevi,Pahlevii,Indonesia
Pai,Pai,Indonesia
Panser,Panser,Indonesia
Pauuu,Pauloxpert,Philippines
Pendragon,Pendragon,Indonesia
Pheww,Pheww,Philippines
Pinnn,Cliveee,Indonesia
Psychoo,Psychoo,Indonesia
QINN,QINN,Philippines
R7,R7,Indonesia
RRQ_Hoshi,RRQ Hoshi,
Raiden,Farr,Indonesia
Raizan,Raizan,Indonesia
RaizeL,R a i z e L,Indonesia
Rasy,Rasy,Indonesia
Rave,Rave,Indonesia
Razeboy,Razeboy,Indonesia
Rekt,Rekt,Indonesia
Renbo,RENBO,Indonesia
Renbuu,Renbuu,Indonesia
Rendyy,Rendyy,Indonesia
Renesmee,Renesmee,Indonesia
Renz,Renz,Indonesia
Reyy,Reyy,Indonesia
Rezzz,Rezzz,Indonesia
Right,Right,Philippines
Rinee,Rinee,Indonesia
Rinz,Rinz,Indonesia
Rippo,Rippo,Malaysia
Ritchi,Ritchi,Indonesia
Ronn,Ronn,Indonesia
RoundeL,RoundeL,Indonesia
RuL_Good,RuL Good,Indonesia
Ruben,Ruben,Indonesia
Rubenhood,Rubenhood,Indonesia
Rupture,Rupture,Indonesia
Ryota,Ryota,Philippines
Ryyo,Ryyo,Indonesia
Ryzaa,RYZAA,Indonesia
S A N Z,S A N Z,
SAEP,SAEP,Indonesia
S_A_N_Z,S A N Z,Indonesia
SaintDeLucaz,SaintDeLucaz,Indonesia
Saken,SakeN,Indonesia
SamoHt,SamoHT,Indonesia
SamueL,SamueL,Indonesia
Sanz,Sanz,
Savero,Savero,Indonesia
Sayargyi,Zaya,Myanmar
Saykots,Saykots,Indonesia
Schwann,Adam,Indonesia
Shacco,Shacco,Indonesia
Shane,Shanee,Indonesia
Shogun,Shogun,Indonesia
Skylar,Skylar,Indonesia
Spencer,Spencer,Indonesia
Starlest,Starlest,Indonesia
Styx,Styx,Indonesia
Super KENN,Super KENN,
Super Kenn,Super Kenn,
Super_Kenn,Super KENN,Indonesia
Super_Kurt,Super Kurt,Philippines
Super_Red,Super Red,Philippines
Sutsujin,Sutsujin,Indonesia
SwayLow,SwayLow,Indonesia
Swaylow,Swaylow,
TaxStump,TaxStump,Indonesia
Tazy,Tazy,Indonesia
Tazz,Tazz,Indonesia
Team_Liquid_ID,Team Liquid ID,
Tezet,Tezet,Indonesia
Theo,Theo,Philippines
Theonael,Theonael,Indonesia
Toyy,Toyy,Indonesia
Treacky,Treacky,Indonesia
UK1R,UK1R,Philippines
Udil,Udil,Indonesia
VAN,VAN,Indonesia
VYN,VYN,Indonesia
VaanStrong,VaanStrong,
Val,VALL,Indonesia
Vanz,Vanz,Indonesia
Variety,Variety,Indonesia
Veldora,Veldora,
Vell,Veldora,Indonesia
Vellion,Vellion,Indonesia
Vincentt,Vincentt,Indonesia
Violence,Violence,Indonesia
Vivy,Vivy,Indonesia
Vren,Vrendon Lin,Philippines
VyrNoCure,VyrNoCure,Indonesia
Warlord,Warlord,Indonesia
Watt,Watt,Indonesia
Widjanarko,Widjanarko,Indonesia
Widy,Widy,Indonesia
Wongcoco,Aceng,Indonesia
Woshipaul,woshipaul,Indonesia
Wuraaaah,Wuraaaah,Philippines
XINNN,Xinnn,Indonesia
XMagic,xMagic,Indonesia
X_Win,X Win,Indonesia
Xepher,Xepher,Indonesia
Xorizo,Xorizo,Indonesia
Xyve,Xyve,Indonesia
Yawi,Yawi,Philippines
Yazukee,Yazukee,Indonesia
Ye3,Ye3,Malaysia
Yeb,Yeb,Philippines
Yehezkiel,Syn,Indonesia
YnoT,YnoT,Philippines
Zeltron,Zeltron,Indonesia
Zeonn,Zeonn,Indonesia
Zetsuna,Zetsuna,Indonesia
Zeys,Zeys,Singapore
Zunesh,Zunesh,Indonesia
alekk,alekk,
god1va,god1va,
