laga_id,game,kode,jenis,urutan,hero
S10R001,1,GEEK,pick,1,Esmeralda
S10R001,1,GEEK,pick,2,Karina
S10R001,1,GEEK,pick,3,Kagura
S10R001,1,GEEK,pick,4,Wanwan
S10R001,1,GEEK,pick,5,Franco
S10R001,1,GEEK,ban,1,Ling
S10R001,1,GEEK,ban,2,Julian
S10R001,1,GEEK,ban,3,Faramis
S10R001,1,GEEK,ban,4,Dyrroth
S10R001,1,GEEK,ban,5,Masha
S10R001,1,RRQ,pick,1,Thamuz
S10R001,1,RRQ,pick,2,Akai
S10R001,1,RRQ,pick,3,Yve
S10R001,1,RRQ,pick,4,Claude
S10R001,1,RRQ,pick,5,Khufra
S10R001,1,RRQ,ban,1,Natalia
S10R001,1,RRQ,ban,2,Fanny
S10R001,1,RRQ,ban,3,Valentina
S10R001,1,RRQ,ban,4,Balmond
S10R001,1,RRQ,ban,5,Cecilion
S10R001,2,GEEK,pick,1,Thamuz
S10R001,2,GEEK,pick,2,Helcurt
S10R001,2,GEEK,pick,3,Valentina
S10R001,2,GEEK,pick,4,Beatrix
S10R001,2,GEEK,pick,5,Grock
S10R001,2,GEEK,ban,1,Ling
S10R001,2,GEEK,ban,2,Julian
S10R001,2,GEEK,ban,3,Franco
S10R001,2,GEEK,ban,4,Masha
S10R001,2,GEEK,ban,5,Phoveus
S10R001,2,RRQ,pick,1,Paquito
S10R001,2,RRQ,pick,2,Akai
S10R001,2,RRQ,pick,3,Yve
S10R001,2,RRQ,pick,4,Claude
S10R001,2,RRQ,pick,5,Faramis
S10R001,2,RRQ,ban,1,Fanny
S10R001,2,RRQ,ban,2,Natalia
S10R001,2,RRQ,ban,3,Wanwan
S10R001,2,RRQ,ban,4,Selena
S10R001,2,RRQ,ban,5,Karina
S10R001,3,GEEK,pick,1,Esmeralda
S10R001,3,GEEK,pick,2,Karina
S10R001,3,GEEK,pick,3,Valentina
S10R001,3,GEEK,pick,4,Wanwan
S10R001,3,GEEK,pick,5,Ruby
S10R001,3,GEEK,ban,1,Ling
S10R001,3,GEEK,ban,2,Yve
S10R001,3,GEEK,ban,3,Beatrix
S10R001,3,GEEK,ban,4,Masha
S10R001,3,GEEK,ban,5,Phoveus
S10R001,3,RRQ,pick,1,Uranus
S10R001,3,RRQ,pick,2,Akai
S10R001,3,RRQ,pick,3,Pharsa
S10R001,3,RRQ,pick,4,Claude
S10R001,3,RRQ,pick,5,Faramis
S10R001,3,RRQ,ban,1,Fanny
S10R001,3,RRQ,ban,2,Natalia
S10R001,3,RRQ,ban,3,Franco
S10R001,3,RRQ,ban,4,Selena
S10R001,3,RRQ,ban,5,Grock
S10R002,1,RBL,pick,1,Masha
S10R002,1,RBL,pick,2,Lancelot
S10R002,1,RBL,pick,3,Cecilion
S10R002,1,RBL,pick,4,Claude
S10R002,1,RBL,pick,5,Akai
S10R002,1,RBL,ban,1,Fanny
S10R002,1,RBL,ban,2,Julian
S10R002,1,RBL,ban,3,Faramis
