season,kode,pemain_id,grup,role,negara,catatan,nama_periode,juara
10,AE,Pai,Main,EXP,Indonesia,,Alter Ego,False
10,AE,Celiboy,Main,Jungle,Indonesia,,Alter Ego,False
10,AE,Udil,Main,Mid,Indonesia,,Alter Ego,False
10,AE,Nino,Main,Gold,Indonesia,,Alter Ego,False
10,AE,Leomurphy,Main,Roam,Indonesia,,Alter Ego,False
10,AE,KidsZ,Subs,Jungle,Indonesia,,Alter Ego,False
10,AE,Ahmad,Subs,Gold,Indonesia,,Alter Ego,False
10,AE,DevKoch,Subs,Roam,Indonesia,,Alter Ego,False
10,AE,Caesius,Staff,,Indonesia,Coach,Alter Ego,False
10,AE,Arss,Staff,,Indonesia,Analyst,Alter Ego,False
10,AURA,Fluffy,Main,EXP,Indonesia,,AURA Fire,False
10,AURA,High,Main,Jungle,Indonesia,,AURA Fire,False
10,AURA,Facehugger,Main,Mid,Indonesia,,AURA Fire,False
10,AURA,Kabuki,Main,Gold,Indonesia,,AURA Fire,False
10,AURA,God1va,Main,Roam,Indonesia,,AURA Fire,False
10,AURA,Caid,Subs,Gold,Indonesia,,AURA Fire,False
10,AURA,Druu,Subs,Roam,Indonesia,,AURA Fire,False
10,AURA,Tezet,Staff,,Indonesia,Coach,AURA Fire,False
10,AURA,Fifty_One_Fifty,Staff,,Indonesia,Analyst,AURA Fire,False
10,AURA,Pahlevi,Staff,,Indonesia,Analyst,AURA Fire,False
10,BTR,Xorizo,Main,EXP,Indonesia,,Bigetron Alpha,False
10,BTR,Maxx,Main,Jungle,Indonesia,,Bigetron Alpha,False
10,BTR,Moreno,Main,Mid,Indonesia,,Bigetron Alpha,False
10,BTR,Markyyyyy,Main,Gold,Philippines,,Bigetron Alpha,False
10,BTR,Kyy,Main,Roam,Indonesia,,Bigetron Alpha,False
10,BTR,Rippo,Subs,EXP,Malaysia,,Bigetron Alpha,False
10,BTR,Falah,Subs,Mid,Indonesia,,Bigetron Alpha,False
10,BTR,Saken,Subs,Gold,Indonesia,,Bigetron Alpha,False
10,BTR,Matt,Former,Gold,Indonesia,Left,Bigetron Alpha,False
10,BTR,Vren,Staff,,Philippines,Coach,Bigetron Alpha,False
10,BTR,Starlest,Staff,,Indonesia,Analyst,Bigetron Alpha,False
10,BTR,Mozia,Staff,,Indonesia,Analyst,Bigetron Alpha,False
10,EVOS,Pendragon,Main,EXP,Indonesia,,EVOS Legends,False
10,EVOS,Sutsujin,Main,Jungle,Indonesia,,EVOS Legends,False
10,EVOS,Tazz,Main,Mid,Indonesia,,EVOS Legends,False
10,EVOS,Clover,Main,Gold,Indonesia,,EVOS Legends,False
10,EVOS,Dreams,Main,Roam,Indonesia,,EVOS Legends,False
10,EVOS,Saykots,Subs,EXP,Indonesia,,EVOS Legends,False
10,EVOS,Cr1te,Subs,Mid,Indonesia,,EVOS Legends,False
10,EVOS,Dlar,Former,EXP,Philippines,Left,EVOS Legends,False
10,EVOS,Ferxiic,Former,Jungle,Indonesia,Left,EVOS Legends,False
10,EVOS,Bajan,Former,Roam,Indonesia,Left,EVOS Legends,False
10,EVOS,Ivann,Former,Roam,Indonesia,Left,EVOS Legends,False
10,EVOS,Zeys,Staff,,Singapore,Head Coach,EVOS Legends,False
10,EVOS,TaxStump,Staff,,Indonesia,Assistant Coach,EVOS Legends,False
10,EVOS,Vellion,Staff,,Indonesia,Assistant Coach,EVOS Legends,False
10,EVOS,Age,Staff,,Indonesia,Analyst,EVOS Legends,False
10,GEEK,Luke,Main,EXP,Indonesia,,Geek Fam ID,False
10,GEEK,Hadess,Main,Jungle,Philippines,,Geek Fam ID,False
10,GEEK,Lzuraa,Main,Mid,Indonesia,,Geek Fam ID,False
10,GEEK,Caderaa,Main,Gold,Indonesia,,Geek Fam ID,False
10,GEEK,Baloyskie,Main,Roam,Philippines,,Geek Fam ID,False
10,GEEK,Renesmee,Subs,Gold,Indonesia,,Geek Fam ID,False
10,GEEK,Schwann,Former,EXP,Indonesia,Left,Geek Fam ID,False
10,GEEK,Hanz,Former,Jungle,Indonesia,Left,Geek Fam ID,False
10,GEEK,Rupture,Former,Roam,Indonesia,Left,Geek Fam ID,False
10,GEEK,Manskuy,Former,Roam,Indonesia,Left,Geek Fam ID,False
10,GEEK,Ruben,Staff,,Indonesia,Coach,Geek Fam ID,False
10,ONIC,Butss,Main,EXP,Indonesia,,ONIC Esports,True
