season,kode,peringkat,main,menang,kalah,win_rate,game_menang,game_kalah,game_win_rate,belum_main,kill,mati,assist,gold,damage,lord,turtle,tower,hasil_playoff,peringkat_playoff,lolos_playoff
10,ONIC,1,14,11,3,78.6,25,13,65.8,0,,,,,,,,,Champion,1.0,True
10,RRQ,2,14,9,5,64.3,18,14,56.2,0,,,,,,,,,Runner-up,2.0,True
10,AE,3,14,7,7,50.0,18,17,51.4,0,,,,,,,,,UB Quarterfinal,5.0,True
10,BTR,4,14,7,7,50.0,17,18,48.6,0,,,,,,,,,LB Semifinal,4.0,True
10,RBL,5,14,6,8,42.9,16,18,47.1,0,,,,,,,,,UB Quarterfinal,5.0,True
10,AURA,6,14,6,8,42.9,17,20,45.9,0,,,,,,,,,LB Final,3.0,True
10,EVOS,7,14,5,9,35.7,14,19,42.4,0,,,,,,,,,,,False
10,GEEK,8,14,5,9,35.7,15,21,41.7,0,,,,,,,,,,,False
11,ONIC,1,14,13,1,92.9,27,8,77.1,0,,,,,,,,,Champion,1.0,True
11,RRQ,2,14,9,5,64.3,22,15,59.5,0,,,,,,,,,LB Semifinal,4.0,True
11,BTR,3,14,8,6,57.1,19,15,55.9,0,,,,,,,,,Play-In,5.0,True
11,GEEK,4,14,8,6,57.1,20,17,54.1,0,,,,,,,,,Play-In,5.0,True
11,EVOS,5,14,7,7,50.0,18,17,51.4,0,,,,,,,,,Runner-up,2.0,True
11,AE,6,14,6,8,42.9,13,20,39.4,0,,,,,,,,,LB Final,3.0,True
11,RBL,7,14,4,10,28.6,11,22,33.3,0,,,,,,,,,,,False
11,AURA,8,14,1,13,7.1,10,26,27.8,0,,,,,,,,,,,False
12,ONIC,1,16,13,3,81.2,27,9,75.0,0,,,,,,,,,Champion,1.0,True
12,RRQ,2,16,11,5,68.8,24,16,60.0,0,,,,,,,,,LB Semifinal,4.0,True
12,GEEK,3,16,10,6,62.5,22,16,57.9,0,,,,,,,,,Runner-up,2.0,True
12,BTR,4,16,7,9,43.8,17,20,45.9,0,,,,,,,,,LB Final,3.0,True
12,RBL,5,16,7,9,43.8,17,21,44.7,0,,,,,,,,,Play-In,5.0,True
12,DEWA,6,16,7,9,43.8,17,22,43.6,0,,,,,,,,,Play-In,5.0,True
12,EVOS,7,16,6,10,37.5,17,22,43.6,0,,,,,,,,,,,False
12,AE,8,16,6,10,37.5,17,23,42.5,0,,,,,,,,,,,False
12,AURA,9,16,5,11,31.2,14,23,37.8,0,,,,,,,,,,,False
13,BTR,1,16,13,3,81.2,28,9,75.7,0,,,,,,,,,LB Semifinal,4.0,True
13,ONIC,2,16,11,5,68.8,25,16,61.0,0,,,,,,,,,Champion,1.0,True
13,GEEK,3,16,10,6,62.5,22,20,52.4,0,,,,,,,,,LB Final,3.0,True
13,AURA,4,16,8,8,50.0,21,18,53.8,0,,,,,,,,,Play-In,5.0,True
13,EVOS,5,16,8,8,50.0,20,23,46.5,0,,,,,,,,,Runner-up,2.0,True
13,RRQ,6,16,7,9,43.8,18,22,45.0,0,,,,,,,,,Play-In,5.0,True
13,RBL,7,16,6,10,37.5,17,24,41.5,0,,,,,,,,,,,False
13,AE,8,16,5,11,31.2,17,24,41.5,0,,,,,,,,,,,False
13,DEWA,9,16,4,12,25.0,14,26,35.0,0,,,,,,,,,,,False
14,RRQ,1,16,13,3,81.2,28,11,71.8,0,,,,,,,,,Runner-up,2.0,True
14,TLID,2,16,12,4,75.0,25,14,64.1,0,,,,,,,,,Champion,1.0,True
14,BTR,3,16,11,5,68.8,26,14,65.0,0,,,,,,,,,LB Final,3.0,True
14,ONIC,4,16,10,6,62.5,21,17,55.3,0,,,,,,,,,Play-In,5.0,True
14,GEEK,5,16,9,7,56.2,21,20,51.2,0,,,,,,,,,LB Semifinal,4.0,True
14,AE,6,16,6,10,37.5,16,22,42.1,0,,,,,,,,,Play-In,5.0,True
14,DEWA,7,16,5,11,31.2,16,23,41.0,0,,,,,,,,,,,False
14,RBL,8,16,3,13,18.8,12,27,30.8,0,,,,,,,,,,,False
14,EVOS,9,16,3,13,18.8,12,29,29.3,0,,,,,,,,,,,False
15,RRQ,1,16,12,4,75.0,25,14,64.1,0,,,,,,,,,Runner-up,2.0,True
15,GEEK,2,16,11,5,68.8,25,17,59.5,0,,,,,,,,,LB Final,3.0,True
15,ONIC,3,16,10,6,62.5,24,17,58.5,0,,,,,,,,,Champion,1.0,True
15,BTR,4,16,9,7,56.2,23,18,56.1,0,,,,,,,,,UB Quarterfinal,5.0,True
15,AE,5,16,9,7,56.2,22,18,55.0,0,,,,,,,,,LB Semifinal,4.0,True
